Student_ID,Name,Department,Semester,CGPA,Attendance,Projects,Programming_Score,Internship,Hackathons,Certifications,Placement_Status,Package_LPA
2001,Aarav_1,ECE,8,7.66,86,3,62,No,0,2,Placed,16.1
2002,Diya_2,AI,8,6.03,92,5,58,No,0,6,Not Placed,0.0
2003,Rohan_3,AI,7,7.06,85,1,89,No,4,4,Not Placed,0.0
2004,Ananya_4,ISE,6,6.72,73,5,82,No,3,3,Not Placed,0.0
2005,Vikram_5,CSE,7,6.23,93,2,61,No,1,4,Not Placed,0.0
2006,Meera_6,AI,6,7.06,77,6,59,No,4,0,Placed,25.0
2007,Karan_7,CSE,6,9.52,97,1,65,No,3,1,Not Placed,0.0
2008,Sneha_8,AI,8,7.44,82,2,84,No,5,5,Not Placed,0.0
2009,Arjun_9,ISE,6,6.59,79,1,58,Yes,4,0,Not Placed,0.0
2010,Priya_10,CSE,6,8.22,86,6,88,No,4,0,Not Placed,0.0
2011,Rahul_11,ME,6,6.26,97,1,80,No,4,1,Not Placed,0.0
2012,Isha_12,ME,7,6.31,91,4,91,Yes,2,1,Not Placed,0.0
2013,Nikhil_13,AI,6,7.01,74,5,96,No,2,6,Not Placed,0.0
2014,Kavya_14,ISE,6,8.36,88,0,59,Yes,4,2,Placed,12.0
2015,Aditya_15,AI,6,7.4,75,3,89,Yes,4,6,Not Placed,0.0
2016,Neha_16,ME,7,7.14,91,0,63,No,0,5,Not Placed,0.0
2017,Manoj_17,ECE,6,8.3,92,2,68,Yes,2,4,Placed,23.1
2018,Sara_18,CSE,6,8.41,96,2,57,No,1,5,Not Placed,0.0
2019,Aarav_19,ISE,7,8.1,83,4,55,No,5,1,Not Placed,0.0
2020,Diya_20,ME,6,8.1,83,1,57,No,0,2,Placed,10.0
2021,Rohan_21,ECE,6,8.96,98,6,81,Yes,5,1,Not Placed,0.0
2022,Ananya_22,AI,7,9.71,95,1,81,No,5,2,Not Placed,0.0
2023,Vikram_23,AI,6,7.01,95,5,61,No,0,6,Not Placed,0.0
2024,Meera_24,ISE,6,7.33,96,6,69,No,5,1,Placed,10.6
2025,Karan_25,ECE,6,7.33,86,3,98,Yes,4,2,Not Placed,0.0
2026,Sneha_26,ECE,7,6.68,78,0,61,Yes,2,5,Not Placed,0.0
2027,Arjun_27,ME,8,9.74,73,3,91,No,0,5,Placed,15.4
2028,Priya_28,AI,8,7.38,72,5,76,Yes,5,6,Placed,23.0
2029,Rahul_29,ECE,8,8.53,80,3,99,No,1,1,Placed,23.8
2030,Isha_30,AI,8,8.34,79,3,90,Yes,2,2,Placed,20.7
2031,Nikhil_31,ECE,7,7.77,84,5,68,Yes,5,1,Not Placed,0.0
2032,Kavya_32,ME,6,8.52,89,2,60,Yes,1,5,Placed,21.1
2033,Aditya_33,CSE,7,6.18,85,4,59,Yes,5,4,Placed,18.9
2034,Neha_34,ISE,8,6.93,90,5,55,Yes,0,6,Placed,8.5
2035,Manoj_35,ME,7,7.77,87,1,62,Yes,3,5,Placed,16.2
2036,Sara_36,ISE,8,8.33,93,4,82,Yes,4,3,Not Placed,0.0
2037,Aarav_37,ISE,7,7.71,94,1,95,No,4,3,Not Placed,0.0
2038,Diya_38,ISE,8,6.29,79,1,72,No,4,0,Placed,9.6
2039,Rohan_39,AI,7,8.68,72,3,81,No,3,3,Placed,21.7
2040,Ananya_40,ME,7,9.6,70,6,91,No,0,2,Placed,12.8
2041,Vikram_41,ME,7,8.84,87,6,93,Yes,3,1,Placed,14.7
2042,Meera_42,ECE,8,8.54,95,3,65,Yes,1,4,Placed,23.1
2043,Karan_43,ME,6,8.52,72,5,82,No,3,1,Placed,12.6
2044,Sneha_44,ISE,7,7.24,94,3,72,Yes,3,2,Not Placed,0.0
2045,Arjun_45,CSE,6,8.85,71,2,69,Yes,5,0,Not Placed,0.0
2046,Priya_46,AI,6,9.19,89,1,70,No,5,0,Not Placed,0.0
2047,Rahul_47,ISE,7,8.66,94,2,65,Yes,5,5,Placed,21.4
2048,Isha_48,CSE,6,8.2,79,4,98,Yes,3,3,Not Placed,0.0
2049,Nikhil_49,CSE,6,8.25,96,5,70,No,2,6,Not Placed,0.0
2050,Kavya_50,ME,7,8.97,81,4,82,Yes,0,4,Placed,5.3
2051,Aditya_51,ISE,8,6.4,81,5,84,Yes,3,1,Not Placed,0.0
2052,Neha_52,ECE,6,8.34,87,6,85,Yes,5,4,Placed,22.0
2053,Manoj_53,ECE,7,9.35,77,6,84,Yes,5,3,Placed,14.9
2054,Sara_54,AI,8,7.85,81,6,71,No,4,5,Not Placed,0.0
2055,Aarav_55,CSE,8,7.96,76,0,70,Yes,3,4,Not Placed,0.0
2056,Diya_56,ISE,7,8.45,85,3,56,No,1,3,Not Placed,0.0
2057,Rohan_57,ME,7,7.4,87,4,77,No,5,4,Placed,19.1
2058,Ananya_58,ECE,8,6.96,73,5,67,No,5,4,Not Placed,0.0
2059,Vikram_59,AI,6,6.73,93,3,72,Yes,4,4,Placed,7.0
2060,Meera_60,ECE,7,6.86,75,2,55,Yes,1,2,Placed,6.1
2061,Karan_61,AI,6,8.42,94,3,61,Yes,4,2,Placed,13.8
2062,Sneha_62,CSE,6,6.96,97,3,62,Yes,3,3,Placed,17.6
2063,Arjun_63,AI,8,6.57,88,2,60,Yes,0,4,Not Placed,0.0
2064,Priya_64,ME,7,9.0,77,6,88,No,3,2,Not Placed,0.0
2065,Rahul_65,ECE,6,8.16,71,4,61,Yes,1,5,Placed,18.2
2066,Isha_66,AI,6,6.66,72,1,55,No,5,4,Not Placed,0.0
2067,Nikhil_67,AI,8,7.09,79,5,84,No,1,2,Not Placed,0.0
2068,Kavya_68,ME,6,8.51,76,3,62,Yes,5,1,Not Placed,0.0
2069,Aditya_69,CSE,7,6.23,95,2,93,Yes,4,2,Placed,14.4
2070,Neha_70,ISE,8,9.58,86,4,86,No,4,0,Not Placed,0.0
2071,Manoj_71,ECE,8,8.29,70,0,69,Yes,4,4,Not Placed,0.0
2072,Sara_72,ECE,6,8.19,94,6,66,Yes,5,3,Not Placed,0.0
2073,Aarav_73,ME,6,7.66,96,3,60,Yes,3,2,Placed,7.1
2074,Diya_74,ECE,7,7.56,85,2,97,Yes,4,0,Placed,11.3
2075,Rohan_75,CSE,7,9.69,82,6,87,Yes,0,5,Not Placed,0.0
2076,Ananya_76,ISE,6,6.21,86,2,94,Yes,5,3,Not Placed,0.0
2077,Vikram_77,ECE,6,8.09,79,3,99,Yes,0,5,Placed,9.8
2078,Meera_78,ECE,8,8.09,87,3,60,No,0,3,Not Placed,0.0
2079,Karan_79,AI,7,7.89,92,2,87,Yes,3,6,Placed,14.4
2080,Sneha_80,ME,7,6.55,76,4,87,Yes,1,6,Placed,20.5
2081,Arjun_81,ECE,8,9.55,86,2,55,No,2,6,Not Placed,0.0
2082,Priya_82,ISE,7,9.29,84,4,85,No,4,6,Placed,14.1
2083,Rahul_83,AI,7,9.73,77,4,79,No,3,0,Placed,14.5
2084,Isha_84,ISE,7,9.76,95,6,96,Yes,3,0,Placed,24.3
2085,Nikhil_85,CSE,6,9.32,84,0,88,Yes,0,5,Placed,22.4
2086,Kavya_86,CSE,8,7.78,78,2,94,Yes,5,0,Not Placed,0.0
2087,Aditya_87,ME,7,7.44,80,5,86,Yes,0,4,Placed,17.6
2088,Neha_88,AI,6,8.84,83,0,95,Yes,0,3,Placed,11.0
2089,Manoj_89,CSE,8,7.23,71,2,77,No,1,1,Not Placed,0.0
2090,Sara_90,AI,6,6.65,72,4,79,Yes,1,3,Not Placed,0.0
2091,Aarav_91,AI,6,7.75,78,3,71,Yes,3,2,Not Placed,0.0
