Student_ID,Name,Department,Semester,CGPA,Attendance,Projects,Programming_Score,Placement_Status
101,Aarav,CSE,8,8.7,92,3,88,Placed
102,Diya,ECE,7,7.5,85,2,72,Not Placed
103,Rohan,AI,8,9.1,95,4,94,Placed
104,Ananya,ISE,6,8.2,90,3,84,Placed
105,Vikram,ME,7,6.9,78,1,65,Not Placed
106,Meera,CSE,8,9.3,96,5,97,Placed
107,Karan,ECE,6,7.1,80,1,68,Not Placed
108,Sneha,AI,7,8.8,93,4,91,Placed
109,Arjun,ISE,8,7.9,88,2,76,Not Placed
110,Priya,CSE,7,8.5,91,3,86,Placed
111,Rahul,ME,6,6.7,75,1,62,Not Placed
112,Isha,ECE,8,8.9,94,4,90,Placed
113,Nikhil,AI,6,7.8,82,2,74,Not Placed
114,Kavya,ISE,7,8.6,89,3,87,Placed
115,Aditya,CSE,8,9.0,95,5,93,Placed
116,Neha,ECE,7,7.7,86,2,78,Not Placed
117,Manoj,ME,8,7.2,79,1,66,Not Placed
118,Sara,AI,8,9.2,97,5,96,Placed
